Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Queen,Queen,The Miracle [1989 CD 44kHz DR13],13,1,13,1989,1989,16,44,2,1,1500,1500,,,m18755,4814384,0c3067cd-0fc6-34fa-8611-cf3324b29c8a,9b8c3b12-ebe0-4942-9879-a17d093acffc
Queen,Queen,A Kind Of Magic [1986 CD 44kHz DR13],12,1,13,1986,1986,16,44,2,1,1500,1500,,,m16143,1964028,84f508a9-beae-3e97-b59e-3a8886c6e901,565dff1c-33b2-4041-9f9b-52141cb4c96e
Queen,Queen,The Game [1994 MFSL UDCD 44kHz DR12],10,1,12,1980,1994,16,44,2,1,1500,1500,,MFSL UDCD,m13248,2370094,75702ddf-a46c-3cac-bace-0a466eb3c37c,2c12e3ff-9dee-3cc1-807a-c0b15e8d074f
Queen,Queen,Queen II [1986 CD 44kHz DR11],11,1,11,1974,1986,16,44,2,1,1400,1400,,,m31526,2879931,93d91bd6-1b55-3751-bca7-8b9d33beb7ef,5714adc2-c787-4b35-b8eb-f3e9154a70e7
Queen,Queen,News Of The World [1993 MFSL UDCD 44kHz DR09],11,1,09,1977,1993,16,44,2,1,1500,1500,,MFSL UDCD,m6414,1336781,c172ea98-3a82-3254-b8ad-25a4f465ba03,0060992e-439c-34b0-9aeb-9df1dcef23f3
Queen,Queen,Flash Gordon (Original Soundtrack Music) [1986 CD 44kHz DR11],18,1,11,1980,1986,16,44,2,1,1500,1500,,,m12820,2879946,70bd9521-c3ea-38c9-9d67-a6a6100bfa48,7be83680-24a9-4c9c-93ae-4d6cadf3cef3
Queen,Queen,Sheer Heart Attack [1986 CD 44kHz DR12],13,1,12,1974,1986,16,44,2,1,1500,1500,,,m5303,4482943,002ed683-3327-3df0-88c8-318746089925,0be3bd27-e5b2-411c-ab9d-3cb6f360d5de
Queen,Queen,A Night At The Opera [1992 MFSL UDCD 44kHz DR11],12,1,11,1975,1992,16,44,2,1,1500,1500,,MFSL UDCD,m5863,1614644,6b47c9a0-b9e1-3df9-a5e8-50a6ce0dbdbd,a885cfae-1025-344c-8326-dea2094b2683
Queen,Queen,Hot Space [1986 CD 44kHz DR13],11,1,13,1982,1986,16,44,2,1,1500,1500,,,m8150,2979275,3918b90b-340e-3779-9d7e-ba1593653498,ac3360be-899a-4133-86df-aa593b339cb8
Queen,Queen,Queen [1986 CD 44kHz DR12],10,1,12,1973,1986,16,44,2,1,1400,1400,,,m5598,368513,810068af-2b3c-3e9c-b2ab-68a3f3e3787d,39220d0b-2961-33c9-b777-d7af0aa80bee
Queen,Queen,Made In Heaven [1995 CD 44kHz DR08],13,1,08,1995,1995,16,44,2,1,1500,1500,,,m20506,8212337,780e6a16-9384-307d-ae65-02e1d6313753,967ebc96-9331-4f62-8a40-161f233c0136
